seed,profit,utilization_rate,on_time_rate,penalty_rate
2000,42554.0,0.9444444444444444,0.75,0.25
2001,20020.0,0.9603174603174603,0.6666666666666666,0.3333333333333333
2002,46095.0,0.9126984126984127,0.5833333333333334,0.4166666666666667
2003,65063.0,0.9047619047619048,0.75,0.25
2004,23981.0,0.9523809523809523,0.5833333333333334,0.4166666666666667
2005,18275.0,0.9365079365079365,0.5833333333333334,0.4166666666666667
2006,43994.0,0.9365079365079365,0.75,0.25
2007,48735.0,0.9047619047619048,0.5833333333333334,0.4166666666666667
2008,57789.0,0.8809523809523809,0.6666666666666666,0.3333333333333333
2009,45215.0,0.8888888888888888,0.5833333333333334,0.4166666666666667
2010,43829.0,0.9365079365079365,0.6666666666666666,0.3333333333333333
2011,44515.0,0.8809523809523809,0.5833333333333334,0.4166666666666667
2012,16035.0,0.873015873015873,0.5833333333333334,0.4166666666666667
2013,46775.0,0.9047619047619048,0.5833333333333334,0.4166666666666667
2014,33035.0,0.9047619047619048,0.5833333333333334,0.4166666666666667
2015,25295.0,0.9365079365079365,0.5833333333333334,0.4166666666666667
2016,40615.0,0.873015873015873,0.5833333333333334,0.4166666666666667
2017,26315.0,0.9365079365079365,0.5833333333333334,0.4166666666666667
2018,55654.0,0.9126984126984127,0.75,0.25
2019,24155.0,0.9444444444444444,0.5833333333333334,0.4166666666666667
2020,38995.0,0.9047619047619048,0.5833333333333334,0.4166666666666667
2021,49454.0,0.9206349206349206,0.75,0.25
2022,50101.0,0.8809523809523809,0.5833333333333334,0.4166666666666667
2023,21095.0,0.9444444444444444,0.5833333333333334,0.4166666666666667
2024,41675.0,0.8809523809523809,0.5833333333333334,0.4166666666666667
2025,50215.0,0.8968253968253969,0.5833333333333334,0.4166666666666667
2026,10155.0,0.9285714285714286,0.5833333333333334,0.4166666666666667
2027,24629.0,0.9603174603174603,0.6666666666666666,0.3333333333333333
2028,42575.0,0.8968253968253969,0.5833333333333334,0.4166666666666667
2029,56795.0,0.8492063492063492,0.5833333333333334,0.4166666666666667
